sample_id,stratum,title,author,year,isbn,gr_book_id,gr_work_id,gr_title,gr_author,gr_year,gr_ratings,resolve_method,resolve_confidence,resolve_notes,pages_fetched,quotes_raw,quotes_dedup,fetched_at
top1945:926,top1945,CAPTAIN FROM CASTILLE,Samuel Shellaburger,1945,,,,,,,0,failed,review,no_candidate,0,0,0,2026-08-13T21:33:57
top1945:4651,top1945,THE BLACK ROSE,Thomas B. Costain,1945,9781568497013,401921,517534,The Black Rose,Thomas B. Costain,1945,1433,isbn,high,,0,0,0,2026-08-13T21:33:57
top1945:142,top1945,A LION IS IN THE STREETS,Adria Locke Langley,1945,,3199179,3232391,A Lion Is In The Streets,Adria Locke Langley,1945,18,title_author,medium,low_ratings,0,0,0,2026-08-13T21:33:57
top1946:5803,top1946,THE MIRACLE OF THE BELLS,Russell Janney,1946,9997502205,29929411,1433380,Miracle of the Bells,Russell Janney,1946,147,isbn,high,,0,0,0,2026-08-13T21:33:57
top1946:5205,top1946,THE FOXES OF HARROW,Frank Yerby,1946,,1269821,1258743,The Foxes of Harrow,Frank Yerby,1946,750,title_author,high,,0,0,0,2026-08-13T21:33:57
top1946:6812,top1946,THIS SIDE OF INNOCENCE,Taylor Caldwell,1946,,133779026,3112047,This Side of Innocence by Taylor Caldwell,Taylor Caldwell,1946,693,title_author,high,,1,1,1,2026-08-13T21:33:57
top1947:2605,top1947,KNOCK ON ANY DOOR,Willard Motley,1947,,257127,249195,Knock on Any Door,Willard Motley,1947,403,title_author,high,,0,0,0,2026-08-13T21:33:57
top1947:2281,top1947,HOUSE DIVIDED,Ben Ames Williams,1947,039508329X,428669,417675,House Divided,Ben Ames Williams,1947,257,isbn,high,,0,0,0,2026-08-13T21:33:57
top1947:4640,top1947,THE BISHOP'S MANTLE,Agnes Sligh Turnbull,1947,,425878,414936,The Bishop's Mantle,Agnes Sligh Turnbull,1947,118,title_author,high,,0,0,0,2026-08-13T21:33:57
top1948:4625,top1948,THE BIG FISHERMAN,Lloyd C. Douglas,1948,,778667,764696,The Big Fisherman,Lloyd C. Douglas,1936,1966,title_author,medium,year_off(1936vs1948),0,0,0,2026-08-13T21:33:57
top1948:5848,top1948,THE NAKED AND THE DEAD,Norman Mailer,1948,0030295904,12467,2223651,The naked and the dead,Norman Mailer,1948,26810,isbn,high,,2,43,42,2026-08-13T21:33:57
top1948:1458,top1948,DINNER AT ANTOINE'S,Frances Parkinson Keyes,1948,,128865,2197195,Dinner at Antoine's,Frances Parkinson Keyes,1948,569,title_author,high,,0,0,0,2026-08-13T21:33:57
top1949:5038,top1949,THE EGYPTIAN,Mika Waltari,1949,0399102345,364826,2072467,The Egyptian,Mika Waltari,1945,29186,isbn,medium,year_off(1945vs1949),2,52,17,2026-08-13T21:33:57
top1949:3548,top1949,POINT OF NO RETURN,John P. Marquand,1949,,279416,271021,Point of No Return,John P. Marquand,1947,374,title_author,high,,1,5,5,2026-08-13T21:33:57
top1949:205,top1949,A RAGE TO LIVE,John O'Hara,1949,,503994,2846792,A Rage to Live,John O'Hara,1949,342,title_author,high,,1,1,1,2026-08-13T21:33:57
top1950:4758,top1950,THE CARDINAL,Henry Morton Robinson,1950,,1866494,1867260,The Cardinal,Henry Morton Robinson,1950,541,title_author,high,,1,2,2,2026-08-13T21:33:57
top1950:2518,top1950,JUBILEE TRAIL,Gwen Bristow,1950,0690467508,74725,1787863,Jubilee Trail,Gwen Bristow,1950,4527,isbn,high,,1,7,7,2026-08-13T21:33:57
top1950:4990,top1950,THE DISENCHANTED,Budd Schulberg,1950,0670005843,1293866,1282972,The Disenchanted,David Schulberg,1950,479,isbn,high,,0,1,0,2026-08-13T21:33:57
top1951:4749,top1951,THE CAINE MUTINY,Herman Wouk,1951,,368772,1059565,The Caine Mutiny,Herman Wouk,1951,27490,title_author,high,,2,58,48,2026-08-13T21:33:57
top1951:1938,top1951,FROM HERE TO ETERNITY,James Jones,1951,9780385333641,116114,2504920,From Here to Eternity,James Jones,1951,18322,isbn,high,,1,29,27,2026-08-13T21:33:57
top1951:4907,top1951,THE CRUEL SEA,Nicholas Monsarrat,1951,1580800467,183586,1104357,The Cruel Sea,Nicholas Monsarrat,1951,8588,isbn,high,,1,8,7,2026-08-13T21:33:57
top1952:6310,top1952,THE SILVER CHALICE,Thomas B. Costain,1952,0385044291,122771,2219799,The Silver Chalice,Thomas B. Costain,1952,4532,isbn,high,,1,3,3,2026-08-13T21:33:57
top1952:1594,top1952,EAST OF EDEN,John Steinbeck,1952,0142000655,4406,2574991,East of Eden,John Steinbeck,1952,707843,isbn,high,,4,120,95,2026-08-13T21:33:57
top1952:5437,top1952,THE HOUSES IN BETWEEN,Howard Spring,1952,,1016637,1002761,The Houses in Between,Howard Spring,1951,144,title_author,high,,0,0,0,2026-08-13T21:33:57
top1953:5386,top1953,THE HIGH AND THE MIGHTY,Ernest K. Gann,1953,,990079,975573,The High and the Mighty,Ernest K. Gann,1953,340,title_author,high,,0,0,0,2026-08-13T21:33:57
top1953:1428,top1953,DESIREE,Annemarie Selinko,1953,0688014488,84049,845141,Désirée,Annemarie Selinko,1951,12521,isbn,high,,1,2,1,2026-08-13T21:33:57
top1953:599,top1953,BATTLE CRY,Leon Uris,1953,,131728982,42163,"Battle Cry by Uris, Leon. (Avon,2005) [Mass Market Paperback]",Leon Uris,1953,10336,title_author,high,,1,3,3,2026-08-13T21:33:57
top1954:3294,top1954,NOT AS A STRANGER,Morton Thompson,1954,,1877857,1878854,Not As a Stranger,Morton Thompson,1954,317,title_author,high,,0,0,0,2026-08-13T21:33:57
top1954:3274,top1954,NO TIME FOR SERGEANTS,Mac Hyman,1954,,236716242,252253448,NO TIME FOR SERGEANTS,Mac Hyman,,0,title_author,medium,low_ratings,0,0,0,2026-08-13T21:33:57
top1954:6611,top1954,THE VIEW FROM POMPEY'S HEAD,Hamilton Basso,1954,,208637054,214761096,The View From Pompey's Head,Hamilton Basso,1956,0,title_author,medium,low_ratings,0,0,0,2026-08-13T21:33:57
top1955:549,top1955,AUNTIE MAME,Patrick Dennis,1955,,187060,2248207,Auntie Mame: An Irreverent Escapade,Patrick Dennis,1955,18739,title_author,high,,1,12,11,2026-08-13T21:33:57
top1955:457,top1955,ANDERSONVILLE,MacKinlay Kantor,1955,0452269563,77239,74658,Andersonville,MacKinlay Kantor,1955,8496,isbn,high,,1,2,2,2026-08-13T21:33:57
top1955:5750,top1955,THE MAN IN THE GRAY FLANNEL SUIT,Sloan Wilson,1955,1568582463,90886,87701,The Man in the Gray Flannel Suit,Sloan Wilson,1955,3946,isbn,high,,1,19,17,2026-08-13T21:33:57
top1956:3507,top1956,PEYTON PLACE,Grace Metalious,1956,9781555537593,526869,37258,Peyton Place,Grace Metalious,1956,14176,isbn,high,,1,19,12,2026-08-13T21:33:57
top1956:1135,top1956,COMPULSION,Meyer Levin,1956,0786703199,22750385,364986,Compulsion,Meyer Levin,1956,2056,isbn,high,,1,1,1,2026-08-13T21:33:57
top1956:5591,top1956,THE LAST HURRAH,Edwin O'Connor,1956,,199999558,1177687,The Last Hurrah,Edwin O'Connor,1956,1076,title_author,high,,1,29,29,2026-08-13T21:33:57
top1957:3713,top1957,RALLY ROUND THE FLAG BOYS!,Max Schulman,1957,,,,,,,0,failed,review,no_candidate,0,0,0,2026-08-13T21:33:57
top1957:892,top1957,BY LOVE POSSESSED,James Gould Cozzens,1957,,603190,589762,By Love Possessed,James Gould Cozzens,1957,133,title_author,high,,0,0,0,2026-08-13T21:33:57
top1957:771,top1957,BLUE CAMELLIA,Frances Parkinson Keyes,1957,,2191475,2197196,Blue Camellia,Frances Parkinson Keyes,1957,164,title_author,high,,1,1,1,2026-08-13T21:33:57
top1958:1699,top1958,EXODUS,Leon Uris,1958,9780553258479,42697,804397,Exodus,Leon Uris,1958,101907,isbn,high,,2,56,32,2026-08-13T21:33:57
top1958:6574,top1958,THE UGLY AMERICAN,William J. Lederer and Eugene Burdick,1958,,40180100,3085087,The Ugly American,William J. Lederer,1958,5268,title_author,high,,0,0,0,2026-08-13T21:33:57
top1958:447,top1958,ANATOMY OF A MURDER,Robert Traver,1958,9780312033569,994663,2285757,Anatomy of a Murder,Robert Traver,1958,3931,isbn,high,,1,8,8,2026-08-13T21:33:57
top1959:319,top1959,ADVISE AND CONSENT,Allen Drury,1959,038505419X,159346,153802,Advise and Consent,Allen Drury,1959,10178,isbn,high,,1,6,5,2026-08-13T21:33:57
top1959:2126,top1959,HAWAII,James A. Michener,1959,0965629279,12658,1056841,Hawaii,James A. Michener,1959,82487,isbn,high,,1,26,24,2026-08-13T21:33:57
top1959:1355,top1959,DEAR AND GLORIOUS PHYSICIAN,Taylor Caldwell,1959,,59097,755652,Dear and Glorious Physician,Taylor Caldwell,1958,8592,title_author,high,,1,22,15,2026-08-13T21:33:57
top1960:6887,top1960,TO KILL A MOCKINGBIRD,Harper Lee,1960,,137656240,3275794,"To Kill a Mockingbird by Lee, Harper (2010) Paperback",Harper Lee,1960,7091871,title_author,high,,1,29,25,2026-08-13T21:33:57
top1960:5599,top1960,THE LAST OF THE JUST,Andre Schwarz-Bart,1960,0689703651,253292,245453,The Last of the Just,André Schwarz-Bart,1959,1460,isbn,high,,1,7,5,2026-08-13T21:33:57
top1960:5646,top1960,THE LEOPARD,Guiseppe di Lampedusa,1960,0679731210,625094,1132275,The Leopard,Giuseppe Tomasi di Lampedusa,1958,50757,isbn,high,,1,29,26,2026-08-13T21:33:57
top1961:4529,top1961,THE AGONY AND THE ECSTASY,Irving Stone,1961,0451171357,321552,1504548,The Agony and the Ecstasy,Irving Stone,1961,99209,isbn,high,,2,58,47,2026-08-13T21:33:57
top1961:1919,top1961,FRANNY AND ZOOEY,J.D. Salinger,1961,,181130,55846478,The Catcher in the Rye/Franny and Zooey/Nine Stories/Raise High the Roof Beam,J.D. Salinger,2010,1160,title_author,medium,year_off(2010vs1961),1,1,1,2026-08-13T21:33:57
top1961:4764,top1961,THE CARPETBAGGERS,Harold Robbins,1961,,308581,1887073,The Carpetbaggers,Harold Robbins,1961,5089,title_author,high,,1,12,12,2026-08-13T21:33:57
top1962:4011,top1962,SEVEN DAYS IN MAY,Fletcher Knebel and Charles W. Bailey II,1962,,133319671,778848,Seven Days in May,Fletcher and Charles W. Bailey II Knebel,1962,2148,title_author,high,,0,0,0,2026-08-13T21:33:57
top1962:4059,top1962,SHIP OF FOOLS,Katherine Anne Porter,1962,0316713902,410760,232329,Ship of Fools,Katherine Anne Porter,1962,3458,isbn,high,,1,20,15,2026-08-13T21:33:57
top1962:1360,top1962,DEARLY BELOVED,Anne Morrow Lindbergh,1962,,110028,106045,Dearly Beloved,Anne Morrow Lindbergh,1962,243,title_author,high,,0,0,0,2026-08-13T21:33:57
top1963:5339,top1963,THE GROUP,Mary McCarthy,1963,,387348,1496165,"The Group: Mary McCarthy's Celebrated Novel of Vassar Women, Friendship, and Ambition in 1930s New York",Mary McCarthy,1963,17846,title_author,high,,1,23,22,2026-08-13T21:33:57
top1963:6289,top1963,THE SHOES OF THE FISHERMAN,Morris L. West,1963,,315272,306106,The Shoes of the Fisherman,Morris L. West,1963,3647,title_author,high,,1,31,25,2026-08-13T21:33:57
top1963:6606,top1963,THE VENETIAN AFFAIR,Helen MacInnes,1963,,146893607,1323899,The Venetian Affair,Helen MacInnes,1963,1522,title_author,high,,1,1,1,2026-08-13T21:33:57
top1964:6381,top1964,THE SPY WHO CAME IN FROM THE COLD,John le Carré,1964,9780143124757,19494,1177001,The Spy Who Came in from the Cold,John le Carré,1963,133419,isbn,high,,3,89,57,2026-08-13T21:33:57
