quote_id,sample_id,gr_work_id,page,idx,source_url,quote_text,bucket,tense,note
q00077,top1979:4944,2745957,1,2,https://www.goodreads.com/work/quotes/2745957,"Ninety-five percent of people who walk the earth are simply inert. One percent are saints, and one percent are assholes. The other three percent are people who do what they say they can do.",,,
q00078,top1979:4944,2745957,1,3,https://www.goodreads.com/work/quotes/2745957,"Nothing is ever lost, Sarah. Nothing that can't be found.",,,
q00079,top1979:4944,2745957,1,4,https://www.goodreads.com/work/quotes/2745957,"Because things like this you can only ssay once. And you either get it wrong or right, it's the end either way, because it's too hard to ever try to say again.",,,
q00080,top1979:4944,2745957,1,5,https://www.goodreads.com/work/quotes/2745957,"She suddenly realized she was sitting in an apartment by herself late at night, eating an apple and watching a movie on TV that she cared nothing about, and doing it all because it was easier than thinking, thinking was so boring really, when all you had to think about was yourself and your lost love.",,,
q00081,top1979:4944,2745957,1,7,https://www.goodreads.com/work/quotes/2745957,Sometimes you just have to do what you can and try to live with it.,,,
q00082,top1979:4944,2745957,1,8,https://www.goodreads.com/work/quotes/2745957,"I’m a man of the world, and all that means is I understand what powers the world. The fuel mix is one part high-octane to nine parts pure bullshit.",,,
q00083,top1979:4944,2745957,1,9,https://www.goodreads.com/work/quotes/2745957,"The Question was this: If you could jump into a time machine and go back to 1932, would you kill Hitler?",,,
q00084,top1979:4944,2745957,1,10,https://www.goodreads.com/work/quotes/2745957,But the people didn’t elect buffoons to Washington. Well—hardly ever.,,,
q00085,top1979:4944,2745957,1,11,https://www.goodreads.com/work/quotes/2745957,"The crowd had the plump, righteous, slightly constipated look that seems the exclusive province of businessmen who belong to the GOP.",,,
q00086,top1979:4944,2745957,1,12,https://www.goodreads.com/work/quotes/2745957,"What would his father do then? Go on, Johnny supposed. People had a way of doing that, just going on, pushing through with no particular drama, no big drumrolls.",,,
q00087,top1979:4944,2745957,1,13,https://www.goodreads.com/work/quotes/2745957,I'm going out for a bottle of champagne. We're going to get bombed.,,,
q00088,top1979:4944,2745957,1,15,https://www.goodreads.com/work/quotes/2745957,You ought to sue that son of a whore,,,
q00089,top1979:4944,2745957,1,16,https://www.goodreads.com/work/quotes/2745957,"95% of the people who walk the earth are inert, Johnny. 1% are saints, and 1% are assholes. The other 3% do what they say they can do.",,,
q00090,top1979:4944,2745957,1,17,https://www.goodreads.com/work/quotes/2745957,The man who senses the wind of change should build not a windbreak but a windmill.,,,
q00091,top1979:4944,2745957,1,19,https://www.goodreads.com/work/quotes/2745957,"And if he can’t be politically killed?” Ngo smiled at Johnny. He unfolded his index finger, cocked his thumb, and then snapped it down. “Bam,” he said softly. “Bam, bam, bam.” “No,” Johnny said, surprised at the hoarseness in his own voice “That’s never an answer. Never.” “No? I thought it was an answer you Americans used quite often.",,,
q00092,top1979:4944,2745957,1,20,https://www.goodreads.com/work/quotes/2745957,"The first slow, scalding tears began to come. “Oh Johnny,” she said. “Everything was supposed to be different, wasn’t it? It wasn’t supposed to end like this.”She lowered her head, her throat working painfully - and to no effect. The sobs came anyway, and the bright sunlight broke into prisms of light. The wind, which had seemed so warm and Indian summery, now seemed as chill as February on her wet cheeks.",,,
q00093,top1979:4944,2745957,1,21,https://www.goodreads.com/work/quotes/2745957,"A charming eccentric, a piece of blank paper on which the electorate could write its message: You other guys are so wasted that we decided to elect this fool for two years instead.",,,
q00094,top1979:4944,2745957,1,23,https://www.goodreads.com/work/quotes/2745957,"Go to hell,' she said merrily, 'nobody lives forever.''But everybody tries, you ever notice that?' he said, following her into one of the swaying gondolas.",,,
q00095,top1979:4944,2745957,1,24,https://www.goodreads.com/work/quotes/2745957,"Momma,’ he said, ‘haven’t you thought that God’s will was for some doctor to invent that drug so you could live longer?",,,
q00096,top1979:4944,2745957,1,25,https://www.goodreads.com/work/quotes/2745957,"He is a mechanic of the brain. He has cut it to piecese and found no soul. Therefore there is none. Like the Russian astronauts who circled the earth and did not see God. It is the empiricism of the mechanic, and a mechanic is only a child with superior motor control.",,,
q00097,top1979:4944,2745957,1,26,https://www.goodreads.com/work/quotes/2745957,Did I grow a third eye?,,,
q00098,top1979:4944,2745957,1,27,https://www.goodreads.com/work/quotes/2745957,"Stillson had apparently discovered one of the great hidden muscles of principle which move the earth: if those who receive will not pay, those who have not often will, for no good reason at all.",,,
q00099,top1979:4944,2745957,1,29,https://www.goodreads.com/work/quotes/2745957,"When men do it in wartime, they give them medals, he thought.",,,
q00100,top1979:4944,2745957,2,0,https://www.goodreads.com/work/quotes/2745957?page=2,"The university was safe. It was a kind of never-never land where everybody, even the teachers, could be a part of Peter Pan’s band and never grow up. And there would always be a Nixon or an Agnew to play Captain Hook.",,,
q00101,top1979:4944,2745957,2,1,https://www.goodreads.com/work/quotes/2745957?page=2,"In that moment she hated him, loathed him, this good man she had married. There was really nothing so terrible on the reverse side of his goodness, his steadiness, his mild good humor – just the belief, apparently grounded in the bedrock of his soul, that everybody was looking out for number one, each with his or her own little racket.",,,
q00102,top1979:4944,2745957,2,5,https://www.goodreads.com/work/quotes/2745957?page=2,Best to praise God in a lower voice when you’re in the hospital.,,,
q00103,top1979:4944,2745957,2,7,https://www.goodreads.com/work/quotes/2745957?page=2,"So far as we know, we don’t know anything.",,,
q00104,top1979:4944,2745957,2,8,https://www.goodreads.com/work/quotes/2745957?page=2,It is more terrible to do nothing while a bad tiger carries away small children.,,,
q00105,top1979:4944,2745957,2,9,https://www.goodreads.com/work/quotes/2745957?page=2,"Time seemed frozen, the applause went on and on even though heads were turning, necks were craning; someone had screamed because there was a man in the gallery and the man was holding a rifle and this was something they had all seen on TV, it was a situation with classic elements that they all recognized. In it's own way, it was as American as The Wonderful World of Disney. The politician and the man in a high place with the gun.",,,
q00106,top1979:4944,2745957,2,12,https://www.goodreads.com/work/quotes/2745957?page=2,Greg Stillson’s rural farm constituency seemed to have a morbid interest in the idea that the Jews were running the world.,,,
q00107,top1979:4944,2745957,2,13,https://www.goodreads.com/work/quotes/2745957?page=2,"There was also a carton of paperbacks entitled America the TruthWay: The Communist-Jewish Conspiracy Against Our United States. Greg did better with this paperback, printed on cheap pulp stock, than with all the Bibles put together. It told all about how the Rothschilds and the Roosevelts and the Greenblatts were taking over the U.S. economy and the U.S. government. There were graphs showing how the Jews related directly to the Communist-Marxist-Leninist-Trotskyite axis, and from there to the Antichrist Itself.",,,
q00108,top1979:4944,2745957,2,15,https://www.goodreads.com/work/quotes/2745957?page=2,We went through the mud and the crud. The wind blew and the shit flew.,,,
q00109,top1979:4944,2745957,2,16,https://www.goodreads.com/work/quotes/2745957?page=2,"The whole country had gone through a spasm of shudders during those eight months, but she had hardly noticed. The marches, the cops in their crash helmets and gas masks, the mounting attacks on the press by Agnew, the Kent State shootings, the summer of violence as blacks and radical groups took to the streets—those things might have happened on some TV late show.",,,
q00110,top1979:4944,2745957,2,17,https://www.goodreads.com/work/quotes/2745957?page=2,I don't know (if she's crazy). There are people down South that handle snakes. I'd call them crazy. She doesn't do that.,,,
q00111,top1979:4944,2745957,2,18,https://www.goodreads.com/work/quotes/2745957?page=2,"Mild white light coming in through the roof chinks, catching motes of chaff in half a hundred pencil-thin sunbeams. Motes of chaff dancing and revolving.",,,
q00112,top1979:4944,2745957,2,19,https://www.goodreads.com/work/quotes/2745957?page=2,"He knew that if Edgar Lancte, Fearless Minion of the Effa Bee Eye, could see him doing this, his phone, living room, and bathroom would be tapped in a jiffy.",,,
q00113,top1979:4944,2745957,2,20,https://www.goodreads.com/work/quotes/2745957?page=2,"The Bible says God loves all his creatures,' Johnny said. His voice was a bit unsteady.",,,
